"id","confidence","correct","domain","model","seed","signal"
"generative-42-fin-test-153","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-154","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-155","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-156","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-157","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-158","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-159","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-160","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-161","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-162","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-163","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-164","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-165","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-166","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-167","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-168","0.6","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-169","0.2","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-170","0.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-171","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-172","0.2","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-173","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-174","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-175","0.8","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-176","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-177","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-178","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-179","0.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-180","0.2","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-181","0.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-182","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-183","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-184","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-185","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-186","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-187","0.8","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-188","0.4","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-189","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-190","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-191","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-192","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-193","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-194","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-195","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-196","1.0","1","fin_test","generative","42","conf_min_sc"
